Date,Open,High,Low,Close,Volume
31-7,362.26,362.5,354.27,357.69,4513089
30-7,370.68,370.72,363.48,364,3295204
29-7,370.45,376.16,369.71,370.7,4234200
28-7,371.03,372.59,368.72,369.47,2984225
25-7,372.31,372.41,369.51,370.74,2053161
24-7,371.9,376,370.61,371.69,2692132
23-7,373.49,373.99,369.26,372.46,1994599
22-7,368,374.5,368,372.87,2448998
21-7,366.49,368.28,363.13,367.68,2770433
18-7,367.07,367.79,364,365.79,2459234
17-7,360.6,366.96,359.28,366.45,3340455
16-7,364.59,365.55,358.71,361.77,3592883
15-7,367,368.32,363.88,364.18,2550992
14-7,363.19,367.68,360.18,366.99,2898705
11-7,368,371.15,362.7,363.35,3548721
10-7,371.99,373.5,365.51,371.43,4023925
9-7,383.5,384.75,370.91,373.38,4726562
8-7,378.5,386.6,377.18,382.24,3708199
7-7,378.9,382.22,375.52,376.93,3545108
3-7,378,383.2,377.8,379.31,2863680
2-7,384.64,386.88,372.73,378.47,6912202
1-7,385.1,392.58,381.52,392.1,4516381
